Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1961,4694500,1669779456,1488609280,3484164700,500,313750,0,0,0,0,0,0,0,0,76,0,5
1962,3035300,1669779456,1488609280,3484164700,500,313750,0,0,0,0,0,0,0,0,76,0,5
1963,4214300,1669779456,1488609280,3484164700,500,313750,0,0,0,0,0,0,0,0,76,0,5
1964,20843700,1670303744,1488609280,3500941916,501,312995,0,0,0,0,0,0,0,0,76,0,5
1965,6490000,1670651904,1488609280,3517719132,502,312983,0,0,0,0,0,0,0,0,76,0,5
1966,3104100,1670971392,1488609280,3517719132,502,312983,0,0,0,0,0,0,0,0,76,0,5
1967,4763000,1671081984,1488609280,3534496348,503,317161,0,0,0,0,0,0,0,0,76,0,5
1968,3039500,1671401472,1488609280,3551273564,503,317161,0,0,0,0,0,0,0,0,76,0,5
1969,4190600,1671401472,1488609280,3551273564,503,317161,0,0,0,0,0,0,0,0,76,0,5
1970,5175900,1671401472,1488609280,3551273564,503,317161,0,0,0,0,0,0,0,0,76,0,5
1971,10379500,1671929856,1488609280,3568050780,504,156865,0,0,0,0,0,0,0,0,76,0,5
1972,4899200,1672142848,1488609280,3584827996,504,156865,0,0,0,0,0,0,0,0,76,0,5
1973,5225900,1672466432,1488609280,3601605212,505,317202,0,0,0,0,0,0,0,0,76,0,5
1974,2887300,1672568832,1488609280,3601605212,505,317202,0,0,0,0,0,0,0,0,76,0,5
1975,5123700,1672568832,1488609280,3601605212,505,317202,0,0,0,0,0,0,0,0,76,0,5
1976,5914000,1672568832,1488609280,3601605212,505,317202,0,0,0,0,0,0,0,0,76,0,5
1977,7830400,1673203712,1488609280,3635159644,506,391474,0,0,0,0,0,0,0,0,76,0,5
1978,5674300,1673203712,1488609280,3635159644,506,391474,0,0,0,0,0,0,0,0,76,0,5
1979,12701000,1673617408,1488609280,3635159644,507,78884,0,0,0,0,0,0,0,0,76,0,5
1980,4820400,1673617408,1488609280,3635159644,507,78884,0,0,0,0,0,0,0,0,76,0,5
1981,7748900,1674457088,1488609280,3668714076,508,313385,0,0,0,0,0,0,0,0,76,0,5
1982,3176300,1674457088,1488609280,3668714076,508,313385,0,0,0,0,0,0,0,0,76,0,5
1983,3562200,1674457088,1488609280,3668714076,508,313385,0,0,0,0,0,0,0,0,76,0,5
1984,6502800,1674977280,1488609280,3685491292,509,235249,0,0,0,0,0,0,0,0,76,0,5
1985,4806700,1675079680,1488609280,3685491292,509,235249,0,0,0,0,0,0,0,0,76,0,5
1986,2822000,1675079680,1488609280,3685491292,509,235249,0,0,0,0,0,0,0,0,76,0,5
1987,2564700,1675079680,1488609280,3685491292,509,235249,0,0,0,0,0,0,0,0,76,0,5
1988,5552300,1675501568,1488609280,3702268508,510,235117,0,0,0,0,0,0,0,0,76,0,5
1989,5638400,1675722752,1488609280,3719045724,510,235117,0,0,0,0,0,0,0,0,76,0,5
1990,3321900,1675722752,1488609280,3719045724,510,235117,0,0,0,0,0,0,0,0,76,0,5
1991,2335400,1675722752,1488609280,3719045724,510,235117,0,0,0,0,0,0,0,0,76,0,5
1992,3733400,1675825152,1488609280,3719045724,511,313368,0,0,0,0,0,0,0,0,76,0,5
1993,2123300,1675825152,1488609280,3719045724,511,313368,0,0,0,0,0,0,0,0,76,0,5
1994,2709600,1676038144,1488609280,3735822940,511,313368,0,0,0,0,0,0,0,0,76,0,5
1995,2828200,1676038144,1488609280,3735822940,511,313368,0,0,0,0,0,0,0,0,76,0,5
1996,3305900,1676038144,1488609280,3735822940,511,313368,0,0,0,0,0,0,0,0,76,0,5
1997,2563000,1676038144,1488609280,3735822940,511,313368,0,0,0,0,0,0,0,0,76,0,5
1998,4431900,1676435456,1488609280,3735822940,512,313234,0,0,0,0,0,0,0,0,76,0,5
1999,3857100,1676537856,1488609280,3735822940,512,313234,0,0,0,0,0,0,0,0,76,0,5
2000,4325700,1676537856,1488609280,3735822940,512,313234,0,0,0,0,0,0,0,0,76,0,5
2001,3824600,1676537856,1488609280,3735822940,512,313234,0,0,0,0,0,0,0,0,76,0,5
2002,6628700,1676754944,1488609280,3752600156,513,391420,0,0,0,0,0,0,0,0,76,0,5
2003,3971500,1676857344,1488609280,3752600156,513,391420,0,0,0,0,0,0,0,0,76,0,5
2004,3573200,1676857344,1488609280,3752600156,513,391420,0,0,0,0,0,0,0,0,76,0,5
2005,6679400,1677164544,1488609280,3752600156,514,313409,0,0,0,0,0,0,0,0,76,0,5
2006,3863900,1677164544,1488609280,3752600156,514,313409,0,0,0,0,0,0,0,0,76,0,5
2007,3711300,1677164544,1488609280,3752600156,514,313409,0,0,0,0,0,0,0,0,76,0,5
2008,4410400,1677164544,1488609280,3752600156,514,313409,0,0,0,0,0,0,0,0,76,0,5
2009,6761800,1678057472,1488609280,3752600156,515,317441,0,0,0,0,0,0,0,0,76,0,5
2010,6043100,1678057472,1488609280,3752600156,515,317441,0,0,0,0,0,0,0,0,76,0,5
2011,3584700,1678057472,1488609280,3752600156,515,317441,0,0,0,0,0,0,0,0,76,0,5
2012,4712100,1678262272,1488609280,3752600156,516,235044,0,0,0,0,0,0,0,0,76,0,5
2013,4636800,1678684160,1488609280,3769377372,516,235044,0,0,0,0,0,0,0,0,76,0,5
2014,3179200,1678688256,1488609280,3769377372,516,235044,0,0,0,0,0,0,0,0,76,0,5
2015,4052600,1678688256,1488609280,3769377372,516,235044,0,0,0,0,0,0,0,0,76,0,5
2016,6185800,1678893056,1488609280,3769377372,517,161231,0,0,0,0,0,0,0,0,76,0,5
2017,5408600,1679618048,1488609280,3786154588,517,161231,0,0,0,0,0,0,0,0,76,0,5
2018,3636800,1679618048,1488609280,3786154588,517,161231,0,0,0,0,0,0,0,0,76,0,5
2019,5347700,1679925248,1488609280,3786154588,518,313723,0,0,0,0,0,0,0,0,76,0,5
2020,4414700,1680646144,1488609280,3786154588,518,313723,0,0,0,0,0,0,0,0,76,0,5
2021,2521900,1680646144,1488609280,3786154588,518,313723,0,0,0,0,0,0,0,0,76,0,5
2022,2341500,1680646144,1488609280,3786154588,518,313723,0,0,0,0,0,0,0,0,76,0,5
2023,2083000,1680646144,1488609280,3786154588,518,313723,0,0,0,0,0,0,0,0,76,0,5
2024,4078500,1680998400,1488609280,3802931804,519,235303,0,0,0,0,0,0,0,0,76,0,5
2025,2170900,1681457152,1488609280,3802931804,519,235303,0,0,0,0,0,0,0,0,76,0,5
2026,3491100,1681788928,1488609280,3819709020,519,235303,0,0,0,0,0,0,0,0,76,0,5
2027,4672900,1681788928,1488609280,3819709020,519,235303,0,0,0,0,0,0,0,0,76,0,5
2028,3685000,1681788928,1488609280,3819709020,519,235303,0,0,0,0,0,0,0,0,76,0,5
2029,6367900,1682321408,1488609280,3853263452,520,313348,0,0,0,0,0,0,0,0,76,0,5
2030,5119400,1682853888,1488609280,3870040668,520,313348,0,0,0,0,0,0,0,0,76,0,5
2031,3729400,1682853888,1488609280,3870040668,520,313348,0,0,0,0,0,0,0,0,76,0,5
2032,8015500,1683709952,1488609280,3920372316,521,313257,0,0,0,0,0,0,0,0,76,0,5
2033,4568700,1683709952,1488609280,3920372316,521,313257,0,0,0,0,0,0,0,0,76,0,5
2034,4452300,1683709952,1488609280,3920372316,521,313257,0,0,0,0,0,0,0,0,76,0,5
2035,5085400,1684414464,1488609280,3953926748,522,391456,0,0,0,0,0,0,0,0,76,0,5
2036,2769800,1684545536,1488609280,3953926748,522,391456,0,0,0,0,0,0,0,0,76,0,5
2037,2942100,1684545536,1488609280,3953926748,522,391456,0,0,0,0,0,0,0,0,76,0,5
2038,2600800,1684545536,1488609280,3953926748,522,391456,0,0,0,0,0,0,0,0,76,0,5
2039,2098500,1684545536,1488609280,3953926748,522,391456,0,0,0,0,0,0,0,0,76,0,5
2040,4719500,1684545536,1488609280,3953926748,523,313314,0,0,0,0,0,0,0,0,76,0,5
2041,3063900,1684758528,1488609280,3970703964,523,313314,0,0,0,0,0,0,0,0,76,0,5
2042,3410300,1684758528,1488609280,3970703964,523,313314,0,0,0,0,0,0,0,0,76,0,5
2043,3589000,1684758528,1488609280,3970703964,523,313314,0,0,0,0,0,0,0,0,76,0,5
2044,4658900,1684860928,1488609280,3970703964,524,391482,0,0,0,0,0,0,0,0,76,0,5
2045,3458100,1685073920,1488609280,3987481180,524,391482,0,0,0,0,0,0,0,0,76,0,5
2046,3409800,1685073920,1488609280,3987481180,524,391482,0,0,0,0,0,0,0,0,76,0,5
2047,3283800,1685073920,1488609280,3987481180,524,391482,0,0,0,0,0,0,0,0,76,0,5
2048,2625600,1685073920,1488609280,3987481180,524,391482,0,0,0,0,0,0,0,0,76,0,5
2049,4084300,1685491712,1488609280,4004258396,525,391567,0,0,0,0,0,0,0,0,76,0,5
2050,2420900,1685594112,1488609280,4004258396,525,391567,0,0,0,0,0,0,0,0,76,0,5
2051,2383000,1685594112,1488609280,4004258396,525,391567,0,0,0,0,0,0,0,0,76,0,5
2052,2314300,1685594112,1488609280,4004258396,525,391567,0,0,0,0,0,0,0,0,76,0,5
2053,3525800,1685594112,1488609280,4004258396,525,391567,0,0,0,0,0,0,0,0,76,0,5
2054,10058700,1685811200,1488609280,4021035612,526,157092,0,0,0,0,0,0,0,0,76,0,5
2055,3962000,1685811200,1488609280,4021035612,526,157092,0,0,0,0,0,0,0,0,76,0,5
2056,2349900,1685811200,1488609280,4021035612,526,157092,0,0,0,0,0,0,0,0,76,0,5
2057,2622300,1685811200,1488609280,4021035612,526,157092,0,0,0,0,0,0,0,0,76,0,5
2058,4726800,1686024192,1488609280,4037812828,527,235412,0,0,0,0,0,0,0,0,76,0,5
2059,4918300,1686130688,1488609280,4037812828,527,235412,0,0,0,0,0,0,0,0,76,0,5
2060,4946300,1686130688,1488609280,4037812828,527,235412,0,0,0,0,0,0,0,0,76,0,5
2061,9182300,1686450176,1488609280,4054590044,528,317521,0,0,0,0,0,0,0,0,76,0,5
2062,5610400,1686450176,1488609280,4054590044,528,317521,0,0,0,0,0,0,0,0,76,0,5
2063,5685600,1686450176,1488609280,4054590044,528,317521,0,0,0,0,0,0,0,0,76,0,5
2064,5781100,1686859776,1488609280,4054590044,529,391401,0,0,0,0,0,0,0,0,76,0,5
2065,5486600,1686966272,1488609280,4054590044,529,391401,0,0,0,0,0,0,0,0,76,0,5
2066,10208600,1687810048,1488609280,4071367260,530,391318,0,0,0,0,0,0,0,0,76,0,5
2067,5869600,1687896064,1488609280,4071367260,530,391318,0,0,0,0,0,0,0,0,76,0,5
2068,3729700,1687896064,1488609280,4071367260,530,391318,0,0,0,0,0,0,0,0,76,0,5
2069,6778500,1687961600,1488609280,4071367260,531,313353,0,0,0,0,0,0,0,0,76,0,5
2070,8597900,1687326720,1488609280,4071367476,531,313353,0,0,0,0,0,0,0,0,76,0,5
2071,5682100,1687429120,1488609280,4071367476,532,313629,0,0,0,0,0,0,0,0,76,0,5
2072,4845600,1684508672,1488609280,4071367476,532,313629,0,0,0,0,0,0,0,0,76,0,5
2073,4737900,1683546112,1488609280,4071367476,532,313629,0,0,0,0,0,0,0,0,76,0,5
2074,8307800,1682300928,1488609280,4088144692,533,392150,0,0,0,0,0,0,0,0,76,0,5
2075,4111400,1682071552,1488609280,4088144692,533,392150,0,0,0,0,0,0,0,0,76,0,5
2076,3792600,1682071552,1488609280,4088144692,533,392150,0,0,0,0,0,0,0,0,76,0,5
2077,6039100,1680683008,1488609280,4104921908,534,157361,0,0,0,0,0,0,0,0,76,0,5
2078,19092800,1676713984,1488609280,4104921908,534,157361,0,0,0,0,0,0,0,0,76,0,5
2079,7204900,1675145216,1488609280,4138476340,535,235379,0,0,0,0,0,0,0,0,76,0,5
2080,6725800,1671794688,1488609280,4155253556,536,391690,0,0,0,0,0,0,0,0,76,0,5
2081,3044400,1672007680,1488609280,4172030772,536,391690,0,0,0,0,0,0,0,0,76,0,5
2082,2586500,1672007680,1488609280,4172030772,536,391690,0,0,0,0,0,0,0,0,76,0,5
2083,2900500,1672007680,1488609280,4172030772,536,391690,0,0,0,0,0,0,0,0,76,0,5
2084,3722800,1672007680,1488609280,4172030772,536,391690,0,0,0,0,0,0,0,0,76,0,5
2085,5596200,1671376896,1488609280,4188807988,537,239181,0,0,0,0,0,0,0,0,76,0,5
2086,4214000,1670545408,1488609280,4205585204,537,239181,0,0,0,0,0,0,0,0,76,0,5
2087,3559200,1670545408,1488609280,4205585204,537,239181,0,0,0,0,0,0,0,0,76,0,5
2088,2482400,1670545408,1488609280,4205585204,537,239181,0,0,0,0,0,0,0,0,76,0,5
2089,5592200,1667190784,1488609280,4239139420,538,235038,0,0,0,0,0,0,0,0,76,0,5
2090,3829100,1667293184,1488609280,4239139420,538,235038,0,0,0,0,0,0,0,0,76,0,5
2091,2882900,1667293184,1488609280,4239139420,538,235038,0,0,0,0,0,0,0,0,76,0,5
2092,2372600,1667293184,1488609280,4239139420,538,235038,0,0,0,0,0,0,0,0,76,0,5
2093,3519300,1666658304,1488609280,4239139420,539,391582,0,0,0,0,0,0,0,0,76,0,5
2094,4910100,1663246336,1488609280,4255916636,539,391582,0,0,0,0,0,0,0,0,76,0,5
2095,4188200,1663295488,1488609280,4255916636,539,391582,0,0,0,0,0,0,0,0,76,0,5
2096,4662200,1663295488,1488609280,4255916636,539,391582,0,0,0,0,0,0,0,0,76,0,5
