Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
159;2210200;1344065536;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
160;2186100;1344155648;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
161;2248100;1344286720;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
162;2253300;1344483328;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
163;2128300;1344733184;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
164;3378200;1345241088;1563594752;3020241196;1229200;0;0;0;0;0;0;0;0;1600;882;1302;0;0;0;0;
165;2660900;1345441792;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
166;2466500;1345576960;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
167;2185200;1345654784;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
168;2261400;1345757184;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
169;2445100;1345871872;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
170;2358800;1345970176;1563594752;3020232988;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
171;3310100;1346330624;1563594752;3020232988;763300;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
172;2460600;1346527232;1563594752;3020232988;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
173;25992000;1348354048;1563594752;3020233164;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
174;154665500;1359638528;1563594752;3043870800;72210500;37277200;2435000;0;0;0;0;0;0;11700;882;1302;0;9;0;0;
175;119364000;1370148864;1563594752;3043873608;107334800;2798500;1841200;0;50785000;3693000;33876500;9454000;3612800;25400;525;775;0;29;0;1;
176;20292600;1371971584;1563594752;3043895640;9805400;4380300;150000;0;0;0;0;0;0;17200;525;775;0;69;0;1;
177;11530000;1372942336;1563594752;3043895640;2679800;775500;15400;0;0;0;0;0;0;3300;525;775;0;76;0;1;
178;7813900;1373999104;1563594752;3043895640;1656700;0;18800;0;0;0;0;0;0;1600;525;775;0;76;0;1;
179;8822700;1374416896;1563594752;3043895640;0;0;0;0;0;0;0;0;0;0;525;775;0;76;0;1;
180;126989700;1391190016;1563594752;3052284264;73664700;0;16300;0;72402200;358800;54604400;16141100;1184100;6300;756;1116;0;76;0;1;
181;29145600;1401171968;1563594752;3060648032;3504800;0;79800;0;0;0;0;0;0;4500;756;1116;0;76;0;1;
182;47083900;1421672448;1563594752;3069043556;29204800;0;33100;0;26685100;12200;100;25556900;1005500;6900;756;1116;0;76;0;1;
183;10692200;1431556096;1563594752;3077432164;2808600;0;77400;0;0;0;0;0;0;3100;756;1116;0;76;0;1;
184;14700000;1442004992;1563594752;3085820772;2120700;0;44700;0;0;0;0;0;0;3100;756;1116;0;76;0;1;
185;8597200;1446998016;1563594752;3085820772;1877700;0;32700;0;0;0;0;0;0;4500;756;1116;0;76;0;1;
186;4591700;1447387136;1563594752;3085820772;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
187;4532200;1447604224;1563594752;3085820772;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
